"ID","waitingBonus","machine","result","latency_ms","performance","condition","expNum","amazonID","room","round","socialFreq0","socialFreq1","socialFreq2"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.0291","0","1","1","0","test","mainRoom1_0","1","0","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0199","1","1","1","0","test","mainRoom1_0","2","0","1","0"
"2ett6hpU8HJJPhjnAAAC","0","2","0.031400000000000004","1","2","1","0","test","mainRoom1_0","2","0","1","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.0245","1","1","1","0","test","mainRoom1_0","2","0","1","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0171","1","1","1","0","test","mainRoom1_0","3","0","2","1"
"2ett6hpU8HJJPhjnAAAC","0","0","0.031200000000000002","1","1","1","0","test","mainRoom1_0","3","0","2","1"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0292","1","1","1","0","test","mainRoom1_0","3","0","2","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.0226","0","1","1","0","test","mainRoom1_0","4","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0212","1","1","1","0","test","mainRoom1_0","4","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.031400000000000004","2","2","1","0","test","mainRoom1_0","4","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0406","2","1","1","0","test","mainRoom1_0","5","0","2","1"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0216","2","1","1","0","test","mainRoom1_0","5","0","2","1"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0322","0","1","1","0","test","mainRoom1_0","6","1","1","0"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0273","1","1","1","0","test","mainRoom1_0","6","1","1","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0178","1","1","1","0","test","mainRoom1_0","6","1","1","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0322","0","1","1","0","test","mainRoom1_0","7","1","2","0"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.02","1","1","1","0","test","mainRoom1_0","7","1","2","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.025699999999999997","1","2","1","0","test","mainRoom1_0","7","1","2","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0297","1","2","1","0","test","mainRoom1_0","8","1","1","1"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0313","1","1","1","0","test","mainRoom1_0","8","1","1","1"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.018799999999999997","1","1","1","0","test","mainRoom1_0","8","1","1","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.018000000000000002","1","2","1","0","test","mainRoom1_0","9","2","0","1"
"2ett6hpU8HJJPhjnAAAC","0","0","0.027200000000000002","1","1","1","0","test","mainRoom1_0","9","2","0","1"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0273","1","1","1","0","test","mainRoom1_0","9","2","0","1"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0213","1","1","1","0","test","mainRoom1_0","10","2","0","1"
"2ett6hpU8HJJPhjnAAAC","0","1","0.025","1","1","1","0","test","mainRoom1_0","10","2","0","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0233","1","2","1","0","test","mainRoom1_0","10","2","0","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.0248","1","1","1","0","test","mainRoom1_0","11","0","2","1"
"2ett6hpU8HJJPhjnAAAC","0","0","0.020099999999999996","0","1","1","0","test","mainRoom1_0","11","0","2","1"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.027999999999999997","1","2","1","0","test","mainRoom1_0","11","0","2","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0358","0","1","1","0","test","mainRoom1_0","12","1","1","1"
"2ett6hpU8HJJPhjnAAAC","0","0","0.02","1","1","1","0","test","mainRoom1_0","12","1","1","1"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.013300000000000001","1","1","1","0","test","mainRoom1_0","12","1","1","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.025099999999999997","1","2","1","0","test","mainRoom1_0","13","2","1","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.032400000000000005","0","1","1","0","test","mainRoom1_0","13","2","1","0"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0323","1","1","1","0","test","mainRoom1_0","13","2","1","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0255","0","1","1","0","test","mainRoom1_0","14","1","1","1"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0199","0","1","1","0","test","mainRoom1_0","14","1","1","1"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.022099999999999998","1","1","1","0","test","mainRoom1_0","14","1","1","1"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.028300000000000002","1","1","1","0","test","mainRoom1_0","15","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0227","1","1","1","0","test","mainRoom1_0","15","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0298","0","2","1","0","test","mainRoom1_0","15","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.0269","1","2","1","0","test","mainRoom1_0","16","1","1","1"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0168","1","1","1","0","test","mainRoom1_0","16","1","1","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0276","1","2","1","0","test","mainRoom1_0","16","1","1","1"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0273","2","1","1","0","test","mainRoom1_0","17","0","1","2"
"2ett6hpU8HJJPhjnAAAC","0","2","0.0363","1","2","1","0","test","mainRoom1_0","17","0","1","2"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.0166","1","1","1","0","test","mainRoom1_0","17","0","1","2"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.0276","1","2","1","0","test","mainRoom1_0","18","0","2","1"
"2ett6hpU8HJJPhjnAAAC","0","0","0.016200000000000003","1","1","1","0","test","mainRoom1_0","18","0","2","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.03","0","1","1","0","test","mainRoom1_0","18","0","2","1"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.030299999999999997","1","2","1","0","test","mainRoom1_0","19","2","0","1"
"2ett6hpU8HJJPhjnAAAC","0","2","0.0246","1","2","1","0","test","mainRoom1_0","19","2","0","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0346","1","2","1","0","test","mainRoom1_0","19","2","0","1"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.025699999999999997","1","2","1","0","test","mainRoom1_0","20","0","0","3"
"2ett6hpU8HJJPhjnAAAC","0","2","0.0258","1","2","1","0","test","mainRoom1_0","20","0","0","3"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0262","1","2","1","0","test","mainRoom1_0","20","0","0","3"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0216","1","1","1","0","test","mainRoom1_0","21","0","0","3"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0209","1","1","1","0","test","mainRoom1_0","21","0","0","3"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.028399999999999998","1","2","1","0","test","mainRoom1_0","21","0","0","3"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.0287","1","2","1","0","test","mainRoom1_0","22","0","2","1"
"2ett6hpU8HJJPhjnAAAC","0","1","0.038900000000000004","1","1","1","0","test","mainRoom1_0","22","0","2","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.028900000000000002","0","1","1","0","test","mainRoom1_0","22","0","2","1"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.022400000000000003","1","1","1","0","test","mainRoom1_0","23","0","2","1"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0152","1","1","1","0","test","mainRoom1_0","23","0","2","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0263","1","1","1","0","test","mainRoom1_0","23","0","2","1"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0227","1","1","1","0","test","mainRoom1_0","24","2","1","0"
"2ett6hpU8HJJPhjnAAAC","0","2","0.026600000000000002","2","2","1","0","test","mainRoom1_0","24","2","1","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0274","1","2","1","0","test","mainRoom1_0","24","2","1","0"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.023700000000000002","1","1","1","0","test","mainRoom1_0","25","0","1","2"
"2ett6hpU8HJJPhjnAAAC","0","1","0.034","1","1","1","0","test","mainRoom1_0","25","0","1","2"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.0248","1","1","1","0","test","mainRoom1_0","25","0","1","2"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.024900000000000002","1","2","1","0","test","mainRoom1_0","26","0","3","0"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.022099999999999998","1","2","1","0","test","mainRoom1_0","26","0","3","0"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0348","1","1","1","0","test","mainRoom1_0","26","0","3","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0232","1","1","1","0","test","mainRoom1_0","27","0","1","2"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.0373","1","2","1","0","test","mainRoom1_0","27","0","1","2"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0275","0","1","1","0","test","mainRoom1_0","27","0","1","2"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.029900000000000003","0","1","1","0","test","mainRoom1_0","28","1","1","1"
"2ett6hpU8HJJPhjnAAAC","0","2","0.033","1","2","1","0","test","mainRoom1_0","28","1","1","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.02","1","2","1","0","test","mainRoom1_0","28","1","1","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0304","1","2","1","0","test","mainRoom1_0","29","0","1","2"
