"ID","waitingBonus","machine","result","latency_ms","performance","condition","expNum","amazonID","room","round","socialFreq0","socialFreq1","socialFreq2"
"6eqW4ANc2uwQTvVYAAAA","0.6","1","0.0298","1","1","1","0","test","mainRoom1_0","1","0","0","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","0","0.0229","1","1","1","0","test","mainRoom1_0","2","0","1","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","2","0.0271","1","2","1","0","test","mainRoom1_0","3","1","0","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","0","0.0125","0","1","1","0","test","mainRoom1_0","4","0","0","1"
"6eqW4ANc2uwQTvVYAAAA","0.6","1","0.0263","1","1","1","0","test","mainRoom1_0","6","0","0","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","0","0.0278","1","1","1","0","test","mainRoom1_0","7","0","1","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","2","0.0321","1","2","1","0","test","mainRoom1_0","8","1","0","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","1","0.0254","1","1","1","0","test","mainRoom1_0","9","0","0","1"
"6eqW4ANc2uwQTvVYAAAA","0.6","0","0.0197","1","1","1","0","test","mainRoom1_0","10","0","1","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","2","0.0223","1","2","1","0","test","mainRoom1_0","11","1","0","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","0","0.024399999999999998","1","1","1","0","test","mainRoom1_0","12","0","0","1"
"6eqW4ANc2uwQTvVYAAAA","0.6","1","0.0262","1","1","1","0","test","mainRoom1_0","13","1","0","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","2","0.0346","1","2","1","0","test","mainRoom1_0","14","0","1","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","1","0.0242","1","1","1","0","test","mainRoom1_0","15","0","0","1"
"6eqW4ANc2uwQTvVYAAAA","0.6","1","0.0269","1","1","1","0","test","mainRoom1_0","16","0","1","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","2","0.0305","1","2","1","0","test","mainRoom1_0","17","0","1","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","0","0.011399999999999999","1","1","1","0","test","mainRoom1_0","18","0","0","1"
"6eqW4ANc2uwQTvVYAAAA","0.6","1","0.0218","1","1","1","0","test","mainRoom1_0","19","1","0","0"
"6eqW4ANc2uwQTvVYAAAA","0.6","1","0.024300000000000002","1","1","1","0","test","mainRoom1_0","20","0","1","0"
